,Sr No,Image File,Caption
0,3,img/insta3,ok a few more sorry i just had so much fun that day 
1,4,img/insta4,this was one of my favorite shoots ive ever done thank you a seriously badass woman for shooting my cover and thank you to everyone who asked a question for the interview  🤍  
2,5,img/insta5,wrapped round my finger like a ring 
3,6,img/insta6,yesterday was so much fun has been such a huge figure in my life i love her humor her grace and her heart check out the interview where im gushing over her the whole time 
4,8,img/insta8,its officially out i was a bit embarrassed asking so often for you to stream or buy my album it felt inauthentic thank you so much for making something so personal to me be a moment ill never forget all i truly desire is for you all to enjoy the music and spread the love  🦋  🌈  💫  
5,9,img/insta9,i hope you guys are liking the album i just want to thank you guys for supporting me and this body of work it means the world to me you have no idea sorry if its been a lot anyhow heres some pics from my rare music video  🤎  
6,10,img/insta10,did it again  🦋  rare 
7,12,img/insta12,had so much fun at the premiere this morning  🌸  🦒  oh and i play a giraffe comes out 117 
8,13,img/insta13,so my rare video is out so im posting a few pics from that day 
9,14,img/insta14,here it is my album is officially out in the universe thank you for the souls that worked on this with me now its yours hope you like it  🌈  🌸  💐  
10,15,img/insta15,there must be a sweeter place 
11,16,img/insta16,i gotta get you out my head now i just cut you off 
12,17,img/insta17,you may not be the one but you look like fun 
13,18,img/insta18,i think youre kinda crazy and not the good kind baby 
14,19,img/insta19,people can go from people you know to people you dont 
15,20,img/insta20,if the only other options letting go  ill stay vulnerable 
16,21,img/insta21,hi new year lets make this one better than the rest 
17,22,img/insta22,feels so good to dance again 
18,23,img/insta23,merry christmas and many many blessings to you and your close loved ones 4000 down 6000 more to go rare is coming out jan 10th  🥴  
19,24,img/insta24,i will share so many of these stories and voices voices that need to be heard we are working on something so special that will hopefully change so many lives this is all i can post for now you do incredible things and im honored to be apart of the family just the beginning my heart will be dedicated to people and serving 
20,25,img/insta25,i have so much to share about my trip to kenya london and paris i wanted to be in every single moment so ill share so much more when i get home this trip was about others which makes it way more meaningful serving is the greatest gift 
21,26,img/insta26,feels good to be back thank you to my entire team and to my fans that stand by me all of this is for you and because of you excited for this chapter  💚  
22,27,img/insta27,amas day more to come 🌼  
23,28,img/insta28,it was my absolute honor to present the bill of rights award to the incredible activist artist songwriter carrier of hope and my friend  🖤  
24,29,img/insta29,well still here 
25,30,img/insta30,grateful for ze pasta  🍝  
26,31,img/insta31,puma fam in my cali sport  
27,32,img/insta32,my love my heart and my soul  🖤  
28,33,img/insta33,so incredibly honored to be part of start the conversation and make sure your voice is heard join us at  
29,34,img/insta34,hope im officially the best big sissy ever now she was living her best life frozen 2 was amazing styled by glam birthed by  💙  
30,35,img/insta35,appreciation post for the squad thats the loyalist since day 1  💙  
