Sr No,Image File,Caption
1,img/insta1,
2,img/insta2,bye 
3,img/insta3,"Ok, a few more... sorry I just had so much fun that day "
4,img/insta4,"This was one of my favorite shoots I’ve ever done! Thank you -a seriously badass woman, for shooting my cover! And thank you to everyone who asked a question for the interview 🤍 "
5,img/insta5,Wrapped round my finger like a ring 
6,img/insta6,"Yesterday was so much fun!! has been such a huge figure in my life. I love her humor, her grace and her heart! Check out the interview where I’m gushing over her the whole time! "
7,img/insta7,Well.. 
8,img/insta8,It’s officially out! I was a bit embarrassed asking so often for you to stream or buy my album. It felt inauthentic. Thank YOU so much for making something so personal to me be a moment I’ll never forget. All I truly desire is for you all to enjoy the music and spread the love 🦋🌈💫 
9,img/insta9,I hope you guys are liking the album! I just want to thank you guys for supporting me and this body of work. It means the world to me.. you have no idea. Sorry if it’s been a lot. Anyhow here’s some pics from my Rare music video. 🤎 
10,img/insta10,Did it again 🦋 rare 
11,img/insta11,R.A.R.E 
12,img/insta12,Had so much fun at the premiere this morning 🌸🦒 oh and I play a giraffe. Comes out 1/17! 
13,img/insta13,So my rare video is out! So I’m posting a few pics from that day 
14,img/insta14,HERE IT IS!!! My album is officially out in the universe.. thank you for the souls that worked on this with me. Now it’s yours. Hope you like it. 🌈🌸💐 
15,img/insta15,There must be a sweeter place. 
16,img/insta16,I gotta get you out my head now… I just cut you off. 
17,img/insta17,"You may not be the one, but you look like fun. "
18,img/insta18,"I think you’re kinda crazy… and not the good kind, baby. "
19,img/insta19,People can go from people you know to people you don’t. 
20,img/insta20,If the only other option’s letting go – I’ll stay vulnerable. 
21,img/insta21,Hi New Year. Let’s make this one better than the rest. 
22,img/insta22,Feels so good to dance again 
23,img/insta23,"Merry Christmas and many, many blessings to you and your close loved ones!! 4,000 down 6,000 more to go RARE is coming out Jan 10th 🥴 "
24,img/insta24,I will share so many of these stories and voices. Voices that need to be heard. We are working on something so special that will hopefully change so many lives. This is all I can post for now. you do INCREDIBLE things and I’m honored to be apart of the family! Just the beginning.. my heart will be dedicated to people and serving. 
25,img/insta25,"I have so much to share about my trip to Kenya, London and Paris. I wanted to be in every single moment so I’ll share so much more when I get home. This trip was about others... which makes it way more meaningful. Serving is the greatest gift. "
26,img/insta26,Feels good to be back. Thank you to my entire team and to my fans that stand by me. All of this is for you and because of you. excited for this chapter 💚 
27,img/insta27,AMAs day.. more to come..🌼 
28,img/insta28,"It was my absolute honor to present the Bill of Rights Award to the incredible Activist, artist, songwriter, carrier of hope and my friend. 🖤 "
29,img/insta29,Well.. Still here. 
30,img/insta30,Grateful for ze pasta 🍝 
31,img/insta31,Puma fam. In my Cali Sport. ❤ 
32,img/insta32,"My love, my heart and my soul 🖤 "
33,img/insta33,So incredibly honored to be part of Start the conversation and make sure your voice is heard. Join us at ❤️ 
34,img/insta34,Hope I’m officially the best big sissy ever now.. she was LIVING her best life!! Frozen 2 was amazing!!! Styled by: Glam: birthed by: 💙 
35,img/insta35,Appreciation post for the squad that’s the loyalist since day 1 💙 
36,img/insta36,My first number 1!! This song is so dear to my heart. I’ve been working so hard to make this album as honest and fun as possible while remaining vulnerable enough to share where I am in life. I love you deeply and thank you so much for listening. I want to thank each and every person that was apart of this moment that I’ll never forget! 
37,img/insta37,I miss when was a bear 
38,img/insta38,Family photos 
39,img/insta39,Honestly my mom really killed it on my costumes growing up... Happy halloween!! 🎃🕸🖤 
40,img/insta40,"Georgia, Toronto, Texas met in NY for a quick night 😋 "
41,img/insta41,Getting to celebrate this chapter with my friends means so much to me 🥰 
42,img/insta42,Some of my favorite moments on set ❤️ 
43,img/insta43,I went to Interscope today to thank everyone for all they do for me! They surprised me with a few plaques from the last few years. BUT my favorite part of today was showing a few fans my music and the video. I’m SO grateful for the love and support I’ve had through out the years. Love you 
44,img/insta44,Made her more of a woman. 
45,img/insta45,You promised the world. 
46,img/insta46,I needed to lose you to love me. 10.23. Link in bio. 
47,img/insta47,I gave my all and they all know it. 
48,img/insta48,Rose colored glasses all distorted. 
