Sr No,Image File,Caption
0,3,img/insta3,ok a few more sorry i just had so much fun that day
1,5,img/insta5,wrapped round my finger like a ring
2,10,img/insta10,did it again  🦋  rare
3,12,img/insta12,had so much fun at the premiere this morning  🌸  🦒  oh and i play a giraffe comes out 117
4,13,img/insta13,so my rare video is out so im posting a few pics from that day
5,15,img/insta15,there must be a sweeter place
6,16,img/insta16,i gotta get you out my head now i just cut you off
7,17,img/insta17,you may not be the one but you look like fun
8,18,img/insta18,i think youre kinda crazy and not the good kind baby
9,19,img/insta19,people can go from people you know to people you dont
10,20,img/insta20,if the only other options letting go  ill stay vulnerable
11,21,img/insta21,hi new year lets make this one better than the rest
12,22,img/insta22,feels so good to dance again
13,23,img/insta23,merry christmas and many many blessings to you and your close loved ones 4000 down 6000 more to go rare is coming out jan 10th  🥴 
14,27,img/insta27,amas day more to come 🌼 
15,28,img/insta28,it was my absolute honor to present the bill of rights award to the incredible activist artist songwriter carrier of hope and my friend  🖤 
16,29,img/insta29,well still here
17,30,img/insta30,grateful for ze pasta  🍝 
18,31,img/insta31,puma fam in my cali sport 
19,32,img/insta32,my love my heart and my soul  🖤 
20,33,img/insta33,so incredibly honored to be part of start the conversation and make sure your voice is heard join us at 
21,34,img/insta34,hope im officially the best big sissy ever now she was living her best life frozen 2 was amazing styled by glam birthed by  💙 
22,35,img/insta35,appreciation post for the squad thats the loyalist since day 1  💙 
23,37,img/insta37,i miss when was a bear
24,38,img/insta38,family photos
25,39,img/insta39,honestly my mom really killed it on my costumes growing up happy halloween  🎃  🕸  🖤 
26,40,img/insta40,georgia toronto texas met in ny for a quick night  😋 
27,41,img/insta41,getting to celebrate this chapter with my friends means so much to me  🥰 
28,42,img/insta42,some of my favorite moments on set 
29,44,img/insta44,made her more of a woman
30,45,img/insta45,you promised the world
31,46,img/insta46,i needed to lose you to love me 1023 link in bio
32,47,img/insta47,i gave my all and they all know it
33,48,img/insta48,rose colored glasses all distorted
34,49,img/insta49,we always go into it blindly
35,50,img/insta50,me all the time
36,51,img/insta51,happy birthday to my sweet angel beyond proud of the man youve become 21
37,56,img/insta56,apparently my heart was very conflicted between juan and cole sprouse when i was 11
38,58,img/insta58,wednesdays a huge bright blue comfy and winnie 
39,59,img/insta59,all kinds of magic  🌈  thank you for your heart your insane humor and your words we laughed cried and danced  💕 
40,60,img/insta60,siri play i wanna be your lover
41,61,img/insta61,lqdcell shatter  👟  👟  by 
42,62,img/insta62,sometimes i cant express how truly grateful i am now back to work
43,63,img/insta63,me italy trying desperately to look like a fellini film
44,66,img/insta66,living in my cali bolds for summer
45,67,img/insta67,when olivia is a star and paul wears your face on a shirt btw if you havent seen olivias movie booksmart i dont understand you
46,68,img/insta68,all combo biker jacket and butterfly parker bag
47,71,img/insta71,been working hard on a new collection with my fam launches today 
48,72,img/insta72,hi cannesyoure very pretty
49,73,img/insta73,i owe my life to you momma
50,74,img/insta74,studio diva
51,78,img/insta78,coachella for the night with t
52,80,img/insta80,loving my new dreamer bag
53,81,img/insta81,throw b
54,82,img/insta82,new season new parker same fam
55,85,img/insta85,i cant get enough is out now link in bio
56,86,img/insta86,back on set with always in my cali
57,87,img/insta87,my best friend is getting married so we celebrated her future mrs lopez
58,89,img/insta89,lots to look forward to in 2019 i cant wait to share the projects ive been working on with you the first one is here cali  👟  by
59,94,img/insta94,is my real life barbie she makes all my stuff look cooler  💕 sweater and rocking cute
60,98,img/insta98,today was so fun
61,102,img/insta102,my best friend turned 26 part one
62,104,img/insta104,trying out my new selena bags with my friends we went jumping on trampolines love yall not perfect always me
63,105,img/insta105,so excited to be a part of the we day inspiration once again  💙  watch on abc august 17 at 87c  you wont want to miss nellies story
64,106,img/insta106,hey fam its almost here first look at my new campaign my exclusive clothing collection drops in a couple weeks
65,107,img/insta107,randoms and film
66,111,img/insta111,so excited for everyone to finally see the latest chapter of  its out now so much fun getting the fam back together
67,113,img/insta113,striking a pose in the new defy mid
68,114,img/insta114,hope everyone had a great 4th of july spent mine with some of my favorite people 
69,121,img/insta121,introducing defy my latest campaign with
70,122,img/insta122,im grateful for those i surround myself with and this woman right here happens to be one of my favorites love our tradition and i love you
71,123,img/insta123,youre stuck in my head and i cant get you out of it
72,124,img/insta124,i wanna hold you when im not supposed to
73,125,img/insta125,out may 10th part of the s2 soundtrack im so excited for you guys to hear it
74,126,img/insta126,always need a subtle change germany family time  😊  grateful for the welcome
75,131,img/insta131,photo wall opportunity with the parker bag
76,136,img/insta136,jo jo youre insane thank you from the bottom of my heart i walked into my home to this
77,137,img/insta137,protect kids not guns
78,138,img/insta138,fam my second collection for is going to include clothes so grateful i got to work on this with cant wait to show you this fall
79,140,img/insta140,thank you and and so grateful to for the interview link in bio wearing by and also thanks to my team  😍 
80,143,img/insta143,a new years first just for you guys im so excited to reveal my new campaign
81,144,img/insta144,its time to shift the balance in the workplace from representing the few to representing us all
82,147,img/insta147,currently until the next year heres where ill be
83,149,img/insta149,thank you for being apart of this phase cant wait for the next
84,150,img/insta150,all apologies
85,151,img/insta151,i stole from my sister
86,152,img/insta152,guys im so excited to share my first campaign for the new phenom
87,155,img/insta155,so i am blonde now
88,156,img/insta156,looked for love in every stranger
89,158,img/insta158,american music awards
90,159,img/insta159,sunday amas
91,161,img/insta161,wolves  🌑 
92,162,img/insta162,been crying with the wolves to get to you
93,163,img/insta163,blindly i am following break down these walls and come on in
94,164,img/insta164,wolves video out now on apple thank you to my bay area fam
95,165,img/insta165,wolves is out now  🐺  🐺 
96,166,img/insta166,wolves is out now  🐺  🐺 
