,Sr No,Image File,Caption,Length,Caption_0,Caption_1
11059,18254,img/insta18254,sister sunday ,2,sis sunday,sister sunday
7819,12104,img/insta12104,since i  m in paris on this tbt i  m posting pics from kanye  s paris fashion show   ,18,since i  m inward paris on this tbt ane  1000 posting pics from kanye  s paris fashion show,since one  m in paris on this tbt ane  m posting pics from kanye  s paris style testify
3068,5214,img/insta5214,i just love them ,4,one just love them,1 exactly dear them
8679,13297,img/insta13297,my wife and i      where it all began ,7,my spouse and i      where it all began,my wife too 1      where it all began
9822,16282,img/insta16282,only police escorts ,3,but police escorts,merely law escorts
9773,16176,img/insta16176,i  m just flexin ,3,one  m just flexin,one  1000 just flexin
1793,2595,img/insta2595,mama girl ,2,mama girlfriend,mama girl
2318,3645,img/insta3645,your work ethic   kind heart   and dedication inspires me jordy       i  m so proud of you and your new ventures   that  s my best friend        ,21,your job ethic   variety heart   and dedication inspires me jordy       one  k therefore proud of you too your novel ventures   that  second my best friend,your job ethic   sort pith   and dedication inspires me jordy       i  1000 so proud of you in addition to your novel ventures   that  second my best friend
396,599,img/insta599,i mean   candids are always the best   my cousin is having her first   we always dreamed of having one together   um   not today but beyond happy i  m a godmother now   👶    🙏    🙌   ,32,i mean   candids are always the best   my cousin is having her inaugural   we ever dreamed of having i together   um   not today simply beyond happy i  k a godmother now   👶    🙏    🙌,i mean   candids are e'er the best   my cousin is having her first   we always dreamed of having ane together   um   not today but beyond happy 1  one thousand a godmother now   👶    🙏    🙌
5491,8907,img/insta8907,sister beauties ,2,sister beauties,sis beauties
937,1523,img/insta1523,my boy wanted a rolex       so i got him a rolex   👑   ,10,my son wanted a rolex       thence 1 got him a rolex   👑,my son wanted a rolex       so ane got him a rolex   👑
3649,6133,img/insta6133,the spot ,2,the location,the place
8239,12602,img/insta12602,cute pic at the airport before we came to paris   ,9,cute pic at the airport earlier we came to paris,cute pic at the airdrome before nosotros came to paris
9864,16389,img/insta16389,this pesto is bomb ,4,this pesto is bomb,this pesto is bomb
5613,9066,img/insta9066,i miss you   like everyday ,5,one missy you   similar everyday,i girl you   similar everyday
